eventID,timeStamp,objectID,objectLng,objectLat
23114,2015-04-11 18:35:40.0,25828,121.4029451,31.359261
23114,2015-04-11 18:35:41.0,25828,121.4029451,31.359261
23114,2015-04-11 18:35:42.0,25828,121.4029451,31.359261
23114,2015-04-11 18:35:43.0,25828,121.4029451,31.359261
23114,2015-04-11 18:35:44.0,25828,121.4029451,31.359261
23114,2015-04-11 18:35:45.0,25828,121.4029451,31.359261
23114,2015-04-11 18:35:46.0,25828,121.4029451,31.359261
23114,2015-04-11 18:35:47.0,25828,121.4029451,31.359261
23114,2015-04-11 18:35:48.0,25828,121.4029451,31.359261
23114,2015-04-11 18:35:49.0,25828,121.4029451,31.359261
23114,2015-04-11 18:35:50.0,25828,121.4029451,31.359261
23114,2015-04-11 18:35:51.0,25828,121.4029451,31.359261
23114,2015-04-11 18:35:52.0,25828,121.4029451,31.359261
23114,2015-04-11 18:35:53.0,25828,121.4029451,31.359261
23114,2015-04-11 18:35:54.0,25828,121.4029451,31.359261
23114,2015-04-11 18:35:55.0,25828,121.4029451,31.359261
23114,2015-04-11 18:35:56.0,25828,121.4029451,31.359261
23114,2015-04-11 18:35:57.0,25828,121.4029451,31.359261
23114,2015-04-11 18:35:58.0,25828,121.4029451,31.359261
23114,2015-04-11 18:35:59.0,25828,121.4029451,31.359261
23114,2015-04-11 18:36:00.0,25828,121.4029451,31.359261
23114,2015-04-11 18:36:01.0,25828,121.4029451,31.359261
23114,2015-04-11 18:36:02.0,25828,121.4029451,31.359261
23114,2015-04-11 18:36:03.0,25828,121.4029451,31.359261
23114,2015-04-11 18:36:04.0,25828,121.4029451,31.359261
23114,2015-04-11 18:36:05.0,25828,121.4029451,31.359261
23114,2015-04-11 18:36:06.0,25828,121.4029451,31.359261
23114,2015-04-11 18:36:07.0,25828,121.4029451,31.359261
23114,2015-04-11 18:36:08.0,25828,121.4029451,31.359261
23114,2015-04-11 18:36:09.0,25828,121.4029451,31.359261
23114,2015-04-11 18:36:10.0,25828,121.4029451,31.359261
23114,2015-04-11 18:36:11.0,25828,121.4029451,31.359261
23114,2015-04-11 18:36:12.0,25828,121.4029451,31.359261
23114,2015-04-11 18:36:13.0,25828,121.4029451,31.359261
23114,2015-04-11 18:36:14.0,25828,121.4029451,31.359261
23114,2015-04-11 18:36:15.0,25828,121.4029451,31.359261
23114,2015-04-11 18:36:16.0,25828,121.4029451,31.359261
23114,2015-04-11 18:36:17.0,25828,121.4029451,31.359261
23114,2015-04-11 18:36:18.0,25828,121.4029451,31.359261
23114,2015-04-11 18:36:19.0,25828,121.4029451,31.359261
23114,2015-04-11 18:36:20.0,25828,121.4029451,31.359261
23114,2015-04-11 18:36:21.0,25828,121.4029451,31.359261
23114,2015-04-11 18:36:22.0,25828,121.4029451,31.359261
23114,2015-04-11 18:36:23.0,25828,121.4029451,31.359261
23114,2015-04-11 18:36:24.0,25828,121.4029451,31.359261
23114,2015-04-11 18:36:25.0,25828,121.4029451,31.359261
23114,2015-04-11 18:36:26.0,25828,121.4029451,31.359261
23114,2015-04-11 18:36:27.0,25828,121.4029451,31.359261
23114,2015-04-11 18:36:28.0,25828,121.4029451,31.359261
23114,2015-04-11 18:36:29.0,25828,121.4029451,31.359261
23114,2015-04-11 18:36:30.0,25828,121.4029451,31.359261
23114,2015-04-11 18:36:31.0,25828,121.4029451,31.359261
23114,2015-04-11 18:36:32.0,25828,121.4029451,31.359261
23114,2015-04-11 18:36:33.0,25828,121.4029451,31.359261
23114,2015-04-11 18:36:34.0,25828,121.4029451,31.359261
23114,2015-04-11 18:36:35.0,25828,121.4029451,31.359261
23114,2015-04-11 18:36:36.0,25828,121.4029451,31.359261
23114,2015-04-11 18:36:37.0,25828,121.4029451,31.359261
23114,2015-04-11 18:36:38.0,25828,121.4029451,31.359261
23114,2015-04-11 18:36:39.0,25828,121.4029451,31.359261
23114,2015-04-11 18:36:40.0,25828,121.4029451,31.359261
23114,2015-04-11 18:36:41.0,25828,121.4029451,31.359261
23114,2015-04-11 18:36:42.0,25828,121.4029451,31.359261
23114,2015-04-11 18:36:43.0,25828,121.4029451,31.359261
23114,2015-04-11 18:36:44.0,25828,121.4029451,31.359261
23114,2015-04-11 18:36:45.0,25828,121.4029451,31.359261
23114,2015-04-11 18:36:46.0,25828,121.4029451,31.359261
23114,2015-04-11 18:36:47.0,25828,121.4029451,31.359261
23114,2015-04-11 18:36:48.0,25828,121.4029451,31.359261
23114,2015-04-11 18:36:49.0,25828,121.4029451,31.359261
23114,2015-04-11 18:36:50.0,25828,121.4029451,31.359261
23114,2015-04-11 18:36:51.0,25828,121.4029451,31.359261
23114,2015-04-11 18:36:52.0,25828,121.4029451,31.359261
23114,2015-04-11 18:36:53.0,25828,121.4029451,31.359261
23114,2015-04-11 18:36:54.0,25828,121.4029451,31.359261
23114,2015-04-11 18:36:55.0,25828,121.4029451,31.359261
